TimeStep,KilobotID,X,Y,Theta,Neighbors,CoMX,CoMY,EstimateHeading,EstimateError
1425,0,530,283,1.5,0,530,283,0,0
1428,0,530,284,1.5,0,530,284,0,0
1431,0,530,284,1.5,0,530,284,0,0
1434,0,530,285,1.5,0,530,285,0,0
1437,0,530,286,1.5,0,530,286,0,0
1440,0,530,287,1.5,0,530,287,0,0
1443,0,530,288,1.5,0,530,288,0,0
1446,0,530,288,1.5,0,530,288,0,0
1449,0,530,289,1.5,0,530,289,0,0
1452,0,530,290,1.5,0,530,290,0,0
1455,0,530,291,1.5,0,530,291,0,0
1458,0,531,292,1.5,0,531,292,0,0
1461,0,531,292,1.5,0,531,292,0,0
1464,0,531,293,1.5,0,531,293,0,0
1467,0,531,294,1.5,0,531,294,0,0
1470,0,531,295,1.5,0,531,295,0,0
1473,0,531,296,1.5,0,531,296,0,0
1476,0,531,296,1.5,0,531,296,0,0
1479,0,531,297,1.5,0,531,297,0,0
1482,0,531,298,1.5,0,531,298,0,0
1485,0,531,299,1.5,0,531,299,0,0
1488,0,531,300,1.5,0,531,300,0,0
1491,0,531,300,1.5,0,531,300,0,0
1494,0,531,301,2.3,0,531,301,0,0
1497,0,531,301,2.3,0,531,301,0,0
1500,0,531,301,2.3,0,531,301,0,0
1503,0,531,301,2.3,0,531,301,0,0
1506,0,531,301,2.3,0,531,301,0,0
1509,0,531,301,2.3,0,531,301,0,0
1512,0,531,302,2.3,0,531,302,0,0
1515,0,530,302,2.3,0,530,302,0,0
1518,0,530,303,2.3,0,530,303,0,0
1521,0,529,304,2.3,0,529,304,0,0
1524,0,529,304,2.3,0,529,304,0,0
1527,0,528,305,2.3,0,528,305,0,0
1530,0,527,305,2.3,0,527,305,0,0
1533,0,527,306,2.3,0,527,306,0,0
1536,0,526,307,2.3,0,526,307,0,0
1539,0,526,307,2.3,0,526,307,0,0
1542,0,525,308,2.3,0,525,308,0,0
1545,0,525,308,2.3,0,525,308,0,0
1548,0,524,309,2.3,0,524,309,0,0
1551,0,524,310,2.3,0,524,310,0,0
1554,0,523,310,2.3,0,523,310,0,0
1557,0,523,311,2.3,0,523,311,0,0
1560,0,522,311,2.3,0,522,311,0,0
1563,0,522,312,2.3,0,522,312,0,0
1566,0,521,313,2.3,0,521,313,0,0
1569,0,521,313,2.3,0,521,313,0,0
1572,0,520,314,2.3,0,520,314,0,0
1575,0,519,314,2.3,0,519,314,0,0
1578,0,519,315,2.3,0,519,315,0,0
1581,0,518,315,2.3,0,518,315,0,0
1584,0,518,316,2.3,0,518,316,0,0
1587,0,517,317,2.3,0,517,317,0,0
1590,0,517,317,2.3,0,517,317,0,0
1593,0,516,318,2.3,0,516,318,0,0
1596,0,516,318,2.3,0,516,318,0,0
1599,0,515,319,2.3,0,515,319,0,0
1602,0,515,320,2.3,0,515,320,0,0
1605,0,514,320,2.3,0,514,320,0,0
1608,0,514,321,2.3,0,514,321,0,0
1611,0,513,321,2.3,0,513,321,0,0
1614,0,512,322,2.3,0,512,322,0,0
1617,0,512,323,2.3,0,512,323,0,0
1620,0,511,323,2.3,0,511,323,0,0
1623,0,511,324,2.3,0,511,324,0,0
1626,0,510,324,2.3,0,510,324,0,0
1629,0,510,325,2.3,0,510,325,0,0
1632,0,509,326,2.3,0,509,326,0,0
1635,0,509,326,2.3,0,509,326,0,0
1638,0,508,327,2.3,0,508,327,0,0
1641,0,508,327,2.3,0,508,327,0,0
1644,0,507,328,2.3,0,507,328,0,0
1647,0,507,329,2.3,0,507,329,0,0
1650,0,506,329,2.3,0,506,329,0,0
1653,0,506,330,2.3,0,506,330,0,0
1656,0,505,330,2.3,0,505,330,0,0
1659,0,504,331,2.3,0,504,331,0,0
1662,0,504,332,2.3,0,504,332,0,0
1665,0,503,332,2.3,0,503,332,0,0
1668,0,503,333,2.3,0,503,333,0,0
1671,0,502,333,2.3,0,502,333,0,0
1674,0,502,334,2.3,0,502,334,0,0
1677,0,501,334,2.3,0,501,334,0,0
1680,0,501,335,2.3,0,501,335,0,0
1683,0,500,336,2.3,0,500,336,0,0
1686,0,500,336,2.3,0,500,336,0,0
1689,0,499,337,2.3,0,499,337,0,0
1692,0,499,337,1.72,0,499,337,0,0
1695,0,499,337,1.72,0,499,337,0,0
1698,0,499,337,1.72,0,499,337,0,0
1701,0,499,337,1.72,0,499,337,0,0
1704,0,499,337,1.72,0,499,337,0,0
1707,0,499,338,1.72,0,499,338,0,0
1710,0,499,338,1.72,0,499,338,0,0
1713,0,499,339,1.72,0,499,339,0,0
1716,0,498,340,1.72,0,498,340,0,0
1719,0,498,341,1.72,0,498,341,0,0
1722,0,498,342,1.72,0,498,342,0,0
1725,0,498,342,1.72,0,498,342,0,0
1728,0,498,343,1.72,0,498,343,0,0
1731,0,498,344,1.72,0,498,344,0,0
1734,0,498,345,1.72,0,498,345,0,0
1737,0,498,346,1.72,0,498,346,0,0
1740,0,498,346,1.72,0,498,346,0,0
1743,0,497,347,1.72,0,497,347,0,0
1746,0,497,348,1.72,0,497,348,0,0
1749,0,497,349,1.72,0,497,349,0,0
1752,0,497,349,1.72,0,497,349,0,0
1755,0,497,350,1.72,0,497,350,0,0
1758,0,497,351,1.72,0,497,351,0,0
1761,0,497,352,1.72,0,497,352,0,0
1764,0,497,353,1.72,0,497,353,0,0
1767,0,496,353,1.72,0,496,353,0,0
1770,0,496,354,1.72,0,496,354,0,0
1773,0,496,355,1.72,0,496,355,0,0
1776,0,496,356,1.72,0,496,356,0,0
1779,0,496,357,1.72,0,496,357,0,0
1782,0,496,357,1.72,0,496,357,0,0
1785,0,496,358,1.72,0,496,358,0,0
1788,0,496,359,1.72,0,496,359,0,0
